Product1_Forecast,Product1_Demand,Product2_Forecast,Product2_Demand,Product3_Forecast,Product3_Demand,Product4_Forecast,Product4_Demand
20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
21.0,20.0,19.0,19.0,20.0,20.0,20.0,21.0
21.0,19.0,20.0,20.0,22.0,20.0,22.0,21.0
22.0,20.0,22.0,21.0,23.0,21.0,23.0,21.0
24.0,22.0,24.0,22.0,24.0,22.0,25.0,22.0
25.0,23.0,26.0,23.0,26.0,22.0,26.0,24.0
28.0,24.0,29.0,25.0,27.0,24.0,28.0,25.0
29.0,27.0,31.0,26.0,30.0,26.0,30.0,26.0
34.0,29.0,33.0,29.0,32.0,28.0,32.0,28.0
36.0,30.0,35.0,29.0,36.0,32.0,33.0,31.0
37.0,35.0,35.0,32.0,40.0,35.0,39.0,31.0
43.0,37.0,39.0,34.0,40.0,36.0,41.0,37.0
44.0,42.0,40.0,37.0,43.0,37.0,45.0,39.0
49.0,45.0,42.0,38.0,45.0,41.0,47.0,43.0
53.0,50.0,45.0,41.0,47.0,44.0,49.0,44.0
58.0,54.0,48.0,42.0,51.0,47.0,53.0,47.0
62.0,52.0,50.0,46.0,53.0,49.0,56.0,48.0
61.0,57.0,56.0,47.0,54.0,48.0,58.0,51.0
62.0,58.0,55.0,54.0,56.0,52.0,60.0,54.0
63.0,61.0,57.0,54.0,58.0,55.0,60.0,55.0
64.0,61.0,57.0,53.0,60.0,57.0,58.0,57.0
64.0,63.0,57.0,55.0,61.0,57.0,60.0,59.0
65.0,63.0,58.0,55.0,60.0,58.0,61.0,59.0
65.0,64.0,58.0,57.0,59.0,59.0,62.0,60.0
66.0,64.0,59.0,58.0,60.0,59.0,62.0,60.0
65.0,65.0,59.0,59.0,59.0,59.0,61.0,61.0
65.0,66.0,58.0,59.0,59.0,59.0,60.0,62.0
64.0,65.0,57.0,59.0,58.0,59.0,60.0,60.0
63.0,65.0,56.0,58.0,57.0,58.0,58.0,59.0
62.0,64.0,54.0,57.0,55.0,57.0,55.0,58.0
60.0,63.0,53.0,53.0,54.0,56.0,52.0,56.0
59.0,61.0,49.0,54.0,52.0,55.0,50.0,54.0
57.0,59.0,47.0,51.0,49.0,55.0,47.0,52.0
53.0,58.0,42.0,50.0,47.0,52.0,46.0,49.0
50.0,57.0,41.0,46.0,44.0,52.0,42.0,48.0
50.0,52.0,36.0,41.0,44.0,47.0,40.0,44.0
48.0,50.0,34.0,39.0,45.0,46.0,35.0,41.0
43.0,50.0,32.0,36.0,40.0,46.0,31.0,39.0
42.0,42.0,30.0,34.0,38.0,42.0,30.0,38.0
36.0,43.0,28.0,32.0,32.0,41.0,29.0,33.0
35.0,40.0,25.0,30.0,32.0,34.0,26.0,30.0
32.0,36.0,23.0,25.0,28.0,36.0,22.0,26.0
28.0,35.0,17.0,22.0,30.0,34.0,18.0,24.0
27.0,33.0,15.0,22.0,26.0,31.0,19.0,19.0
25.0,28.0,16.0,18.0,27.0,30.0,14.0,18.0
23.0,28.0,17.0,18.0,24.0,29.0,16.0,14.0
23.0,25.0,17.0,19.0,24.0,27.0,11.0,17.0
22.0,24.0,16.0,17.0,24.0,24.0,13.0,16.0
21.0,23.0,16.0,17.0,21.0,25.0,14.0,12.0
21.0,22.0,16.0,15.0,23.0,19.0,12.0,12.0
