Product1_Forecast,Product1_Demand,Product2_Forecast,Product2_Demand,Product3_Forecast,Product3_Demand,Product4_Forecast,Product4_Demand
20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
21.0,20.0,20.0,20.0,21.0,17.0,20.0,20.0
23.0,20.0,22.0,19.0,21.0,18.0,21.0,19.0
24.0,21.0,24.0,22.0,20.0,20.0,22.0,20.0
25.0,23.0,25.0,22.0,23.0,20.0,23.0,21.0
28.0,24.0,27.0,24.0,25.0,21.0,26.0,22.0
29.0,27.0,29.0,25.0,25.0,25.0,27.0,22.0
32.0,28.0,32.0,27.0,30.0,25.0,28.0,24.0
35.0,28.0,33.0,31.0,31.0,29.0,29.0,27.0
36.0,31.0,37.0,31.0,36.0,28.0,32.0,28.0
38.0,34.0,38.0,34.0,36.0,35.0,35.0,34.0
40.0,35.0,39.0,37.0,39.0,38.0,37.0,34.0
43.0,37.0,43.0,37.0,45.0,38.0,40.0,34.0
44.0,41.0,46.0,40.0,45.0,40.0,43.0,38.0
48.0,43.0,49.0,45.0,47.0,43.0,45.0,40.0
49.0,44.0,47.0,47.0,49.0,45.0,48.0,44.0
52.0,46.0,51.0,46.0,49.0,50.0,49.0,45.0
53.0,49.0,53.0,49.0,55.0,49.0,51.0,47.0
56.0,50.0,56.0,51.0,56.0,50.0,51.0,49.0
56.0,52.0,57.0,52.0,56.0,54.0,53.0,50.0
57.0,55.0,57.0,54.0,59.0,55.0,56.0,51.0
57.0,56.0,57.0,55.0,58.0,57.0,55.0,53.0
59.0,56.0,58.0,57.0,60.0,57.0,55.0,53.0
59.0,57.0,59.0,57.0,60.0,59.0,56.0,54.0
59.0,58.0,59.0,58.0,59.0,59.0,56.0,55.0
58.0,59.0,59.0,58.0,58.0,60.0,55.0,56.0
58.0,59.0,58.0,58.0,58.0,59.0,55.0,55.0
57.0,59.0,57.0,58.0,57.0,59.0,53.0,54.0
56.0,58.0,55.0,58.0,56.0,58.0,52.0,54.0
55.0,57.0,54.0,58.0,55.0,56.0,51.0,53.0
52.0,55.0,53.0,56.0,53.0,55.0,48.0,52.0
49.0,54.0,51.0,54.0,51.0,55.0,46.0,49.0
48.0,51.0,49.0,52.0,50.0,55.0,45.0,47.0
46.0,49.0,46.0,51.0,49.0,53.0,41.0,47.0
43.0,48.0,42.0,47.0,47.0,50.0,39.0,45.0
41.0,46.0,42.0,46.0,42.0,49.0,38.0,42.0
39.0,43.0,40.0,44.0,42.0,43.0,35.0,40.0
34.0,40.0,36.0,40.0,39.0,43.0,33.0,38.0
32.0,37.0,31.0,36.0,39.0,40.0,31.0,36.0
29.0,34.0,27.0,32.0,35.0,40.0,30.0,34.0
27.0,32.0,25.0,27.0,34.0,40.0,28.0,31.0
24.0,30.0,24.0,24.0,33.0,37.0,24.0,30.0
23.0,26.0,22.0,23.0,31.0,36.0,23.0,25.0
21.0,24.0,17.0,23.0,31.0,34.0,21.0,23.0
21.0,23.0,17.0,24.0,30.0,33.0,21.0,23.0
18.0,21.0,18.0,21.0,29.0,31.0,20.0,22.0
17.0,19.0,18.0,20.0,28.0,30.0,18.0,21.0
17.0,18.0,19.0,19.0,27.0,29.0,18.0,20.0
16.0,17.0,17.0,19.0,27.0,28.0,18.0,19.0
16.0,17.0,17.0,19.0,27.0,28.0,18.0,19.0
