Product1_Forecast,Product1_Demand,Product2_Forecast,Product2_Demand,Product3_Forecast,Product3_Demand,Product4_Forecast,Product4_Demand
20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
21.0,22.0,20.0,20.0,21.0,18.0,21.0,18.0
21.0,21.0,21.0,21.0,20.0,20.0,21.0,20.0
23.0,20.0,23.0,21.0,23.0,20.0,23.0,21.0
25.0,21.0,24.0,22.0,24.0,21.0,24.0,21.0
27.0,23.0,26.0,24.0,26.0,24.0,25.0,22.0
29.0,24.0,29.0,26.0,27.0,27.0,27.0,23.0
31.0,27.0,30.0,28.0,30.0,27.0,29.0,24.0
33.0,30.0,33.0,30.0,34.0,29.0,30.0,27.0
34.0,31.0,35.0,31.0,37.0,31.0,33.0,28.0
36.0,32.0,38.0,33.0,39.0,36.0,35.0,31.0
39.0,33.0,40.0,37.0,44.0,39.0,39.0,32.0
40.0,38.0,46.0,39.0,47.0,43.0,39.0,36.0
42.0,39.0,47.0,38.0,51.0,46.0,41.0,36.0
45.0,40.0,47.0,41.0,55.0,52.0,44.0,39.0
47.0,43.0,48.0,45.0,58.0,57.0,46.0,41.0
49.0,46.0,49.0,47.0,61.0,61.0,47.0,43.0
52.0,48.0,52.0,47.0,69.0,63.0,48.0,45.0
54.0,50.0,53.0,49.0,70.0,69.0,50.0,46.0
56.0,54.0,54.0,50.0,75.0,68.0,52.0,49.0
56.0,54.0,57.0,51.0,73.0,75.0,52.0,50.0
58.0,55.0,56.0,53.0,75.0,78.0,53.0,51.0
58.0,58.0,55.0,55.0,78.0,78.0,53.0,52.0
60.0,57.0,57.0,55.0,79.0,80.0,53.0,53.0
58.0,60.0,57.0,58.0,80.0,80.0,54.0,53.0
59.0,59.0,59.0,58.0,79.0,80.0,53.0,54.0
57.0,60.0,57.0,58.0,79.0,80.0,53.0,53.0
58.0,59.0,57.0,58.0,78.0,80.0,52.0,53.0
56.0,58.0,55.0,58.0,77.0,79.0,51.0,53.0
55.0,57.0,54.0,56.0,75.0,78.0,50.0,52.0
54.0,56.0,51.0,55.0,74.0,76.0,48.0,50.0
51.0,55.0,51.0,53.0,71.0,76.0,45.0,49.0
50.0,53.0,47.0,51.0,69.0,76.0,44.0,45.0
47.0,52.0,45.0,50.0,69.0,72.0,38.0,46.0
45.0,49.0,43.0,48.0,65.0,70.0,37.0,43.0
42.0,48.0,41.0,46.0,62.0,67.0,35.0,41.0
41.0,44.0,38.0,44.0,60.0,62.0,34.0,36.0
39.0,42.0,35.0,41.0,55.0,59.0,33.0,36.0
37.0,40.0,34.0,42.0,48.0,56.0,28.0,34.0
33.0,39.0,31.0,37.0,48.0,50.0,26.0,35.0
31.0,35.0,27.0,36.0,46.0,49.0,26.0,29.0
31.0,32.0,28.0,31.0,46.0,46.0,23.0,26.0
30.0,33.0,23.0,30.0,42.0,45.0,18.0,25.0
30.0,31.0,23.0,27.0,39.0,42.0,18.0,24.0
28.0,31.0,23.0,24.0,36.0,41.0,17.0,19.0
27.0,29.0,20.0,24.0,36.0,37.0,17.0,19.0
27.0,29.0,20.0,21.0,33.0,37.0,18.0,18.0
25.0,28.0,19.0,22.0,34.0,35.0,15.0,18.0
25.0,27.0,19.0,21.0,34.0,34.0,15.0,13.0
24.0,26.0,19.0,20.0,33.0,34.0,13.0,13.0
