Product1_Forecast,Product1_Demand,Product2_Forecast,Product2_Demand,Product3_Forecast,Product3_Demand,Product4_Forecast,Product4_Demand
20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
22.0,21.0,22.0,20.0,20.0,20.0,20.0,19.0
23.0,22.0,22.0,24.0,20.0,21.0,22.0,20.0
24.0,23.0,26.0,22.0,22.0,20.0,22.0,19.0
25.0,23.0,29.0,25.0,24.0,20.0,23.0,21.0
27.0,23.0,29.0,29.0,25.0,22.0,26.0,22.0
29.0,26.0,34.0,28.0,27.0,25.0,28.0,25.0
30.0,28.0,36.0,29.0,30.0,27.0,31.0,27.0
34.0,29.0,38.0,33.0,33.0,27.0,33.0,29.0
37.0,30.0,39.0,33.0,34.0,30.0,34.0,30.0
39.0,33.0,40.0,36.0,35.0,32.0,37.0,32.0
42.0,40.0,43.0,38.0,37.0,33.0,40.0,37.0
47.0,42.0,47.0,42.0,41.0,35.0,46.0,39.0
50.0,46.0,48.0,42.0,41.0,36.0,46.0,41.0
52.0,47.0,48.0,47.0,44.0,37.0,48.0,44.0
55.0,49.0,55.0,48.0,45.0,39.0,50.0,46.0
57.0,51.0,55.0,49.0,46.0,43.0,54.0,48.0
57.0,54.0,56.0,51.0,49.0,44.0,56.0,49.0
59.0,55.0,57.0,53.0,48.0,48.0,56.0,52.0
60.0,55.0,58.0,54.0,53.0,49.0,58.0,53.0
60.0,58.0,59.0,55.0,52.0,49.0,61.0,55.0
63.0,59.0,60.0,57.0,53.0,50.0,59.0,55.0
63.0,59.0,58.0,58.0,53.0,51.0,59.0,57.0
62.0,61.0,60.0,58.0,55.0,53.0,58.0,58.0
64.0,63.0,59.0,59.0,54.0,54.0,59.0,59.0
63.0,63.0,59.0,58.0,55.0,55.0,58.0,58.0
63.0,62.0,58.0,58.0,54.0,54.0,58.0,58.0
61.0,62.0,57.0,58.0,53.0,54.0,57.0,58.0
60.0,63.0,56.0,58.0,52.0,54.0,55.0,57.0
59.0,62.0,54.0,57.0,50.0,53.0,54.0,57.0
58.0,59.0,52.0,55.0,48.0,52.0,52.0,56.0
56.0,57.0,51.0,53.0,46.0,49.0,51.0,54.0
54.0,57.0,49.0,52.0,44.0,48.0,50.0,53.0
51.0,55.0,46.0,51.0,40.0,48.0,47.0,51.0
49.0,53.0,44.0,47.0,39.0,40.0,44.0,50.0
46.0,51.0,40.0,45.0,30.0,41.0,42.0,48.0
45.0,49.0,36.0,41.0,31.0,32.0,41.0,45.0
42.0,46.0,34.0,39.0,28.0,31.0,41.0,42.0
40.0,44.0,32.0,38.0,28.0,32.0,36.0,42.0
38.0,42.0,31.0,36.0,25.0,30.0,35.0,40.0
36.0,39.0,30.0,33.0,23.0,28.0,33.0,38.0
34.0,38.0,27.0,31.0,20.0,26.0,31.0,35.0
32.0,36.0,27.0,30.0,17.0,20.0,28.0,33.0
29.0,35.0,24.0,27.0,14.0,20.0,28.0,29.0
28.0,34.0,21.0,27.0,15.0,17.0,28.0,29.0
29.0,31.0,21.0,24.0,14.0,18.0,26.0,27.0
28.0,29.0,21.0,22.0,13.0,17.0,24.0,28.0
26.0,28.0,19.0,22.0,13.0,15.0,24.0,27.0
26.0,27.0,20.0,19.0,11.0,13.0,25.0,25.0
27.0,27.0,21.0,19.0,11.0,13.0,23.0,25.0
