Product1_Forecast,Product1_Demand,Product2_Forecast,Product2_Demand,Product3_Forecast,Product3_Demand,Product4_Forecast,Product4_Demand
20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
22.0,21.0,23.0,20.0,20.0,18.0,21.0,21.0
22.0,22.0,22.0,21.0,22.0,19.0,23.0,21.0
24.0,22.0,23.0,22.0,22.0,21.0,24.0,22.0
25.0,24.0,25.0,23.0,25.0,21.0,25.0,22.0
27.0,24.0,27.0,24.0,26.0,23.0,26.0,24.0
30.0,26.0,29.0,26.0,28.0,24.0,28.0,23.0
30.0,25.0,31.0,28.0,29.0,27.0,29.0,26.0
33.0,27.0,33.0,31.0,33.0,29.0,33.0,27.0
34.0,31.0,37.0,32.0,35.0,31.0,34.0,29.0
36.0,32.0,41.0,35.0,36.0,32.0,38.0,30.0
39.0,35.0,44.0,40.0,40.0,35.0,39.0,33.0
43.0,37.0,50.0,41.0,42.0,37.0,43.0,35.0
44.0,39.0,49.0,49.0,44.0,38.0,44.0,38.0
49.0,44.0,56.0,48.0,46.0,43.0,45.0,39.0
51.0,43.0,56.0,54.0,47.0,47.0,45.0,42.0
52.0,49.0,59.0,53.0,53.0,47.0,49.0,44.0
56.0,52.0,61.0,55.0,55.0,47.0,51.0,47.0
57.0,52.0,62.0,58.0,55.0,51.0,54.0,50.0
59.0,54.0,65.0,61.0,58.0,53.0,53.0,53.0
59.0,56.0,67.0,61.0,60.0,57.0,53.0,53.0
60.0,57.0,66.0,65.0,61.0,58.0,56.0,53.0
60.0,57.0,70.0,67.0,60.0,58.0,57.0,57.0
59.0,59.0,70.0,66.0,59.0,59.0,58.0,57.0
60.0,59.0,69.0,69.0,60.0,59.0,58.0,58.0
60.0,59.0,69.0,69.0,60.0,59.0,57.0,58.0
59.0,60.0,69.0,69.0,59.0,60.0,57.0,57.0
58.0,59.0,68.0,70.0,58.0,59.0,56.0,57.0
57.0,59.0,67.0,69.0,57.0,58.0,55.0,57.0
56.0,59.0,65.0,68.0,55.0,58.0,54.0,56.0
54.0,58.0,63.0,66.0,53.0,56.0,52.0,54.0
53.0,56.0,61.0,65.0,51.0,54.0,50.0,53.0
51.0,56.0,60.0,62.0,50.0,53.0,48.0,54.0
49.0,52.0,60.0,61.0,47.0,52.0,46.0,52.0
44.0,51.0,57.0,61.0,45.0,49.0,45.0,49.0
43.0,47.0,54.0,59.0,44.0,46.0,45.0,48.0
42.0,45.0,52.0,57.0,41.0,45.0,41.0,47.0
39.0,44.0,50.0,56.0,37.0,43.0,40.0,42.0
36.0,40.0,47.0,54.0,35.0,42.0,34.0,41.0
33.0,36.0,47.0,51.0,34.0,38.0,32.0,42.0
31.0,34.0,46.0,49.0,32.0,36.0,31.0,39.0
29.0,34.0,39.0,47.0,30.0,35.0,33.0,33.0
27.0,33.0,37.0,38.0,28.0,32.0,31.0,33.0
26.0,30.0,32.0,36.0,25.0,29.0,28.0,32.0
26.0,28.0,30.0,38.0,23.0,27.0,28.0,29.0
23.0,27.0,30.0,31.0,23.0,23.0,27.0,28.0
23.0,26.0,27.0,29.0,20.0,24.0,25.0,28.0
22.0,25.0,28.0,28.0,19.0,22.0,26.0,25.0
23.0,23.0,25.0,27.0,18.0,22.0,25.0,25.0
21.0,23.0,27.0,26.0,19.0,21.0,24.0,24.0
