Product1_Forecast,Product1_Demand,Product2_Forecast,Product2_Demand,Product3_Forecast,Product3_Demand,Product4_Forecast,Product4_Demand
20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
22.0,22.0,21.0,20.0,21.0,22.0,19.0,19.0
24.0,22.0,21.0,20.0,24.0,21.0,21.0,20.0
23.0,23.0,22.0,20.0,24.0,23.0,22.0,21.0
25.0,22.0,23.0,21.0,24.0,23.0,24.0,20.0
27.0,25.0,25.0,22.0,26.0,24.0,25.0,22.0
29.0,24.0,27.0,23.0,29.0,26.0,27.0,23.0
30.0,26.0,29.0,23.0,33.0,25.0,29.0,25.0
31.0,28.0,31.0,25.0,32.0,29.0,29.0,27.0
34.0,29.0,32.0,27.0,35.0,30.0,33.0,29.0
36.0,33.0,34.0,30.0,38.0,32.0,35.0,30.0
39.0,35.0,35.0,32.0,38.0,36.0,38.0,33.0
43.0,36.0,38.0,33.0,43.0,36.0,39.0,34.0
46.0,40.0,41.0,34.0,45.0,41.0,40.0,36.0
48.0,44.0,42.0,34.0,45.0,43.0,43.0,38.0
52.0,45.0,43.0,37.0,47.0,44.0,45.0,40.0
54.0,48.0,43.0,41.0,48.0,46.0,47.0,42.0
54.0,50.0,45.0,42.0,52.0,45.0,49.0,44.0
55.0,51.0,48.0,43.0,51.0,46.0,51.0,46.0
57.0,54.0,49.0,45.0,52.0,49.0,52.0,49.0
59.0,56.0,50.0,47.0,53.0,50.0,54.0,51.0
60.0,58.0,50.0,49.0,53.0,51.0,56.0,51.0
60.0,59.0,51.0,50.0,54.0,52.0,56.0,54.0
60.0,60.0,51.0,50.0,54.0,53.0,57.0,55.0
61.0,60.0,51.0,50.0,53.0,54.0,57.0,57.0
61.0,60.0,51.0,51.0,54.0,54.0,59.0,57.0
60.0,61.0,50.0,51.0,53.0,54.0,57.0,58.0
58.0,60.0,49.0,50.0,52.0,54.0,58.0,57.0
57.0,61.0,48.0,50.0,51.0,53.0,55.0,57.0
57.0,59.0,47.0,49.0,49.0,53.0,55.0,57.0
54.0,57.0,44.0,48.0,48.0,52.0,52.0,55.0
52.0,55.0,42.0,46.0,46.0,50.0,53.0,54.0
49.0,55.0,40.0,45.0,44.0,48.0,50.0,53.0
49.0,52.0,39.0,42.0,42.0,47.0,48.0,53.0
44.0,50.0,35.0,40.0,40.0,46.0,46.0,50.0
43.0,46.0,34.0,36.0,39.0,44.0,44.0,48.0
42.0,45.0,27.0,35.0,36.0,41.0,41.0,48.0
39.0,44.0,24.0,27.0,33.0,39.0,39.0,40.0
36.0,42.0,23.0,26.0,31.0,37.0,39.0,41.0
35.0,40.0,19.0,24.0,29.0,35.0,37.0,40.0
32.0,38.0,17.0,22.0,27.0,30.0,33.0,40.0
32.0,35.0,14.0,21.0,23.0,30.0,32.0,35.0
28.0,34.0,13.0,19.0,22.0,26.0,29.0,34.0
27.0,27.0,11.0,17.0,20.0,24.0,29.0,30.0
20.0,26.0,12.0,14.0,20.0,22.0,24.0,30.0
18.0,25.0,9.0,13.0,16.0,21.0,24.0,27.0
19.0,22.0,9.0,12.0,15.0,18.0,23.0,27.0
17.0,21.0,9.0,10.0,18.0,19.0,24.0,24.0
17.0,19.0,9.0,10.0,18.0,16.0,21.0,26.0
16.0,19.0,10.0,10.0,17.0,17.0,24.0,24.0
