Product1_Forecast,Product1_Demand,Product2_Forecast,Product2_Demand,Product3_Forecast,Product3_Demand,Product4_Forecast,Product4_Demand
20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
18.0,18.0,20.0,21.0,21.0,19.0,18.0,20.0
20.0,19.0,22.0,23.0,21.0,20.0,19.0,19.0
21.0,19.0,25.0,22.0,22.0,20.0,21.0,19.0
22.0,20.0,27.0,22.0,23.0,21.0,22.0,20.0
24.0,21.0,27.0,23.0,26.0,22.0,25.0,22.0
27.0,24.0,29.0,25.0,28.0,23.0,26.0,22.0
28.0,23.0,30.0,26.0,29.0,26.0,28.0,25.0
31.0,25.0,32.0,27.0,32.0,27.0,31.0,26.0
33.0,26.0,33.0,31.0,35.0,29.0,33.0,30.0
33.0,28.0,36.0,32.0,35.0,31.0,34.0,29.0
36.0,31.0,39.0,34.0,39.0,33.0,38.0,32.0
37.0,33.0,41.0,36.0,43.0,37.0,38.0,36.0
40.0,35.0,43.0,39.0,46.0,43.0,43.0,38.0
44.0,37.0,45.0,41.0,52.0,44.0,46.0,40.0
45.0,37.0,48.0,44.0,52.0,47.0,47.0,42.0
46.0,40.0,48.0,45.0,51.0,48.0,49.0,44.0
48.0,43.0,51.0,47.0,54.0,50.0,49.0,48.0
49.0,45.0,52.0,48.0,55.0,53.0,54.0,48.0
50.0,46.0,53.0,50.0,58.0,54.0,55.0,52.0
51.0,49.0,54.0,50.0,59.0,54.0,53.0,54.0
52.0,50.0,55.0,51.0,59.0,57.0,58.0,55.0
54.0,52.0,55.0,53.0,61.0,58.0,59.0,54.0
54.0,53.0,56.0,53.0,60.0,62.0,57.0,56.0
54.0,54.0,55.0,54.0,61.0,59.0,57.0,58.0
53.0,54.0,55.0,54.0,59.0,59.0,58.0,59.0
53.0,54.0,54.0,55.0,59.0,59.0,57.0,59.0
52.0,53.0,53.0,54.0,58.0,59.0,57.0,58.0
50.0,52.0,52.0,53.0,56.0,58.0,56.0,57.0
48.0,51.0,50.0,52.0,55.0,59.0,54.0,56.0
47.0,50.0,48.0,51.0,54.0,57.0,52.0,55.0
45.0,49.0,46.0,50.0,51.0,56.0,48.0,52.0
43.0,46.0,44.0,49.0,49.0,52.0,46.0,50.0
39.0,43.0,43.0,48.0,47.0,51.0,46.0,49.0
38.0,40.0,40.0,45.0,46.0,47.0,43.0,46.0
32.0,39.0,37.0,43.0,43.0,45.0,40.0,44.0
30.0,37.0,34.0,40.0,37.0,45.0,36.0,44.0
28.0,32.0,34.0,39.0,37.0,39.0,36.0,39.0
26.0,30.0,31.0,36.0,34.0,38.0,29.0,39.0
24.0,28.0,28.0,32.0,31.0,36.0,29.0,33.0
20.0,27.0,23.0,29.0,28.0,35.0,28.0,33.0
18.0,26.0,21.0,22.0,27.0,34.0,29.0,32.0
18.0,24.0,14.0,21.0,25.0,30.0,26.0,32.0
16.0,22.0,14.0,15.0,25.0,27.0,26.0,30.0
16.0,19.0,14.0,15.0,21.0,25.0,24.0,28.0
12.0,18.0,13.0,14.0,20.0,22.0,25.0,27.0
11.0,17.0,11.0,14.0,18.0,20.0,23.0,26.0
12.0,14.0,11.0,12.0,18.0,18.0,22.0,25.0
10.0,12.0,9.0,11.0,16.0,19.0,22.0,24.0
11.0,12.0,10.0,9.0,18.0,17.0,22.0,23.0
