Product1_Forecast,Product1_Demand,Product2_Forecast,Product2_Demand,Product3_Forecast,Product3_Demand,Product4_Forecast,Product4_Demand
20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
20.0,20.0,19.0,21.0,19.0,17.0,20.0,19.0
21.0,21.0,21.0,19.0,21.0,18.0,21.0,20.0
22.0,20.0,22.0,22.0,22.0,20.0,22.0,21.0
23.0,21.0,22.0,20.0,24.0,21.0,25.0,22.0
26.0,21.0,23.0,22.0,25.0,22.0,26.0,24.0
27.0,22.0,26.0,23.0,27.0,23.0,28.0,25.0
29.0,25.0,28.0,25.0,28.0,25.0,31.0,26.0
33.0,27.0,30.0,27.0,32.0,27.0,33.0,27.0
36.0,28.0,34.0,28.0,35.0,30.0,35.0,30.0
38.0,32.0,36.0,30.0,36.0,33.0,38.0,32.0
40.0,36.0,37.0,34.0,38.0,35.0,40.0,36.0
40.0,40.0,40.0,35.0,42.0,36.0,42.0,37.0
45.0,39.0,42.0,37.0,44.0,40.0,43.0,40.0
47.0,40.0,44.0,39.0,48.0,43.0,45.0,40.0
48.0,40.0,46.0,40.0,51.0,44.0,46.0,42.0
49.0,44.0,48.0,44.0,52.0,47.0,47.0,44.0
50.0,46.0,51.0,46.0,54.0,48.0,50.0,45.0
51.0,48.0,51.0,48.0,55.0,51.0,52.0,46.0
54.0,51.0,53.0,50.0,55.0,53.0,52.0,48.0
57.0,51.0,54.0,51.0,57.0,55.0,54.0,50.0
56.0,53.0,54.0,53.0,59.0,55.0,54.0,51.0
56.0,54.0,54.0,54.0,60.0,58.0,54.0,53.0
56.0,55.0,55.0,54.0,60.0,58.0,54.0,53.0
56.0,55.0,55.0,54.0,60.0,59.0,55.0,54.0
56.0,56.0,55.0,54.0,59.0,60.0,54.0,54.0
55.0,56.0,54.0,54.0,59.0,59.0,53.0,54.0
55.0,55.0,53.0,54.0,58.0,59.0,52.0,54.0
53.0,55.0,52.0,53.0,56.0,58.0,51.0,53.0
52.0,55.0,50.0,53.0,55.0,58.0,50.0,52.0
51.0,53.0,49.0,52.0,53.0,56.0,48.0,51.0
49.0,51.0,46.0,50.0,52.0,55.0,46.0,51.0
47.0,50.0,43.0,45.0,50.0,55.0,45.0,47.0
44.0,49.0,41.0,46.0,48.0,53.0,41.0,47.0
42.0,44.0,40.0,41.0,46.0,50.0,40.0,43.0
40.0,42.0,35.0,41.0,42.0,49.0,36.0,43.0
37.0,39.0,33.0,40.0,41.0,46.0,35.0,40.0
34.0,41.0,31.0,34.0,39.0,44.0,33.0,38.0
34.0,36.0,30.0,31.0,37.0,39.0,31.0,35.0
30.0,35.0,26.0,30.0,34.0,37.0,29.0,34.0
29.0,34.0,23.0,28.0,32.0,35.0,28.0,32.0
26.0,32.0,21.0,27.0,28.0,34.0,24.0,29.0
24.0,31.0,18.0,24.0,27.0,31.0,21.0,21.0
23.0,27.0,20.0,21.0,24.0,30.0,23.0,20.0
20.0,25.0,17.0,20.0,22.0,24.0,17.0,20.0
20.0,23.0,14.0,17.0,22.0,22.0,14.0,20.0
18.0,21.0,13.0,19.0,21.0,22.0,14.0,17.0
19.0,18.0,12.0,15.0,19.0,21.0,11.0,15.0
17.0,18.0,12.0,15.0,18.0,20.0,12.0,13.0
17.0,17.0,13.0,13.0,18.0,19.0,11.0,13.0
