Product1_Forecast,Product1_Demand,Product2_Forecast,Product2_Demand,Product3_Forecast,Product3_Demand,Product4_Forecast,Product4_Demand
20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
20.0,20.0,22.0,20.0,20.0,21.0,21.0,19.0
21.0,20.0,22.0,22.0,21.0,21.0,22.0,19.0
22.0,21.0,24.0,22.0,22.0,21.0,22.0,20.0
24.0,22.0,25.0,23.0,24.0,23.0,23.0,21.0
26.0,25.0,27.0,23.0,26.0,22.0,25.0,23.0
29.0,24.0,28.0,26.0,27.0,23.0,27.0,25.0
31.0,26.0,30.0,27.0,29.0,24.0,30.0,25.0
33.0,27.0,34.0,28.0,32.0,26.0,31.0,26.0
35.0,28.0,36.0,31.0,33.0,29.0,35.0,29.0
36.0,31.0,39.0,34.0,36.0,31.0,36.0,32.0
39.0,32.0,40.0,38.0,38.0,34.0,40.0,33.0
41.0,34.0,44.0,41.0,39.0,36.0,42.0,35.0
42.0,37.0,46.0,42.0,44.0,37.0,44.0,39.0
45.0,38.0,49.0,42.0,46.0,40.0,46.0,42.0
48.0,41.0,51.0,46.0,47.0,43.0,48.0,43.0
50.0,44.0,52.0,49.0,49.0,45.0,49.0,46.0
51.0,47.0,52.0,50.0,51.0,47.0,52.0,47.0
53.0,50.0,55.0,51.0,52.0,48.0,54.0,49.0
56.0,52.0,58.0,54.0,52.0,51.0,55.0,52.0
58.0,58.0,58.0,55.0,53.0,51.0,55.0,53.0
62.0,58.0,60.0,57.0,54.0,51.0,56.0,54.0
60.0,62.0,60.0,59.0,55.0,53.0,57.0,54.0
59.0,64.0,60.0,59.0,55.0,54.0,56.0,54.0
63.0,61.0,59.0,60.0,54.0,55.0,56.0,55.0
60.0,65.0,59.0,59.0,55.0,55.0,54.0,55.0
63.0,62.0,58.0,59.0,54.0,55.0,54.0,55.0
62.0,63.0,57.0,59.0,53.0,55.0,52.0,55.0
59.0,62.0,56.0,57.0,52.0,54.0,52.0,53.0
59.0,61.0,53.0,56.0,50.0,53.0,51.0,52.0
56.0,61.0,52.0,55.0,48.0,52.0,48.0,51.0
55.0,58.0,51.0,53.0,47.0,51.0,47.0,51.0
51.0,56.0,48.0,52.0,45.0,48.0,45.0,50.0
50.0,53.0,46.0,51.0,41.0,47.0,43.0,48.0
47.0,52.0,44.0,50.0,38.0,44.0,41.0,46.0
44.0,47.0,43.0,47.0,35.0,42.0,40.0,43.0
42.0,46.0,38.0,45.0,35.0,39.0,37.0,41.0
42.0,43.0,35.0,44.0,32.0,36.0,35.0,39.0
35.0,42.0,35.0,41.0,29.0,34.0,33.0,37.0
34.0,41.0,34.0,37.0,26.0,32.0,31.0,34.0
33.0,40.0,31.0,34.0,25.0,29.0,27.0,31.0
32.0,36.0,31.0,32.0,23.0,27.0,25.0,30.0
30.0,35.0,27.0,30.0,22.0,24.0,21.0,27.0
29.0,32.0,23.0,30.0,19.0,23.0,21.0,24.0
29.0,29.0,23.0,26.0,18.0,21.0,18.0,21.0
26.0,29.0,22.0,25.0,16.0,18.0,16.0,19.0
25.0,28.0,20.0,25.0,13.0,16.0,16.0,17.0
26.0,26.0,21.0,22.0,14.0,14.0,14.0,17.0
24.0,25.0,21.0,22.0,11.0,13.0,14.0,17.0
24.0,24.0,21.0,22.0,13.0,12.0,14.0,15.0
