Product1_Forecast,Product1_Demand,Product2_Forecast,Product2_Demand,Product3_Forecast,Product3_Demand,Product4_Forecast,Product4_Demand
20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
20.0,20.0,19.0,20.0,20.0,21.0,21.0,18.0
21.0,20.0,20.0,20.0,22.0,20.0,21.0,21.0
22.0,21.0,22.0,20.0,23.0,21.0,23.0,21.0
24.0,21.0,24.0,21.0,24.0,21.0,24.0,22.0
26.0,23.0,26.0,24.0,25.0,22.0,26.0,22.0
28.0,25.0,29.0,25.0,27.0,23.0,27.0,24.0
31.0,26.0,31.0,26.0,28.0,24.0,30.0,26.0
31.0,29.0,32.0,28.0,29.0,26.0,31.0,26.0
35.0,30.0,35.0,30.0,32.0,28.0,33.0,27.0
37.0,29.0,38.0,32.0,34.0,30.0,34.0,30.0
39.0,33.0,39.0,34.0,37.0,31.0,38.0,31.0
40.0,35.0,41.0,36.0,39.0,33.0,39.0,34.0
43.0,38.0,43.0,39.0,41.0,35.0,43.0,37.0
47.0,40.0,47.0,41.0,42.0,38.0,44.0,37.0
48.0,44.0,48.0,48.0,45.0,41.0,45.0,42.0
47.0,46.0,50.0,49.0,49.0,43.0,51.0,43.0
51.0,46.0,56.0,49.0,51.0,48.0,50.0,52.0
52.0,48.0,58.0,52.0,56.0,52.0,60.0,50.0
54.0,50.0,58.0,55.0,61.0,53.0,57.0,60.0
54.0,52.0,60.0,57.0,61.0,60.0,58.0,59.0
58.0,54.0,60.0,58.0,63.0,60.0,61.0,60.0
58.0,58.0,61.0,59.0,62.0,63.0,62.0,62.0
58.0,58.0,62.0,60.0,63.0,63.0,62.0,61.0
58.0,58.0,61.0,61.0,64.0,63.0,62.0,61.0
57.0,59.0,61.0,61.0,63.0,63.0,62.0,62.0
58.0,58.0,59.0,61.0,62.0,64.0,61.0,62.0
57.0,58.0,59.0,59.0,61.0,64.0,61.0,61.0
56.0,58.0,57.0,58.0,61.0,62.0,59.0,61.0
54.0,57.0,55.0,58.0,58.0,62.0,57.0,60.0
53.0,56.0,52.0,56.0,57.0,59.0,56.0,60.0
50.0,54.0,50.0,53.0,53.0,58.0,55.0,58.0
49.0,53.0,47.0,49.0,50.0,57.0,53.0,57.0
47.0,52.0,39.0,52.0,49.0,51.0,51.0,55.0
46.0,49.0,41.0,40.0,41.0,50.0,50.0,54.0
43.0,49.0,37.0,39.0,40.0,42.0,48.0,53.0
41.0,45.0,31.0,39.0,37.0,40.0,46.0,52.0
39.0,46.0,29.0,34.0,37.0,39.0,44.0,50.0
38.0,43.0,28.0,29.0,33.0,39.0,41.0,46.0
36.0,40.0,28.0,27.0,31.0,35.0,39.0,42.0
34.0,37.0,22.0,27.0,30.0,34.0,36.0,40.0
31.0,35.0,20.0,23.0,27.0,32.0,33.0,38.0
27.0,33.0,17.0,23.0,26.0,31.0,31.0,36.0
27.0,30.0,17.0,20.0,24.0,29.0,31.0,33.0
25.0,28.0,13.0,20.0,23.0,26.0,29.0,32.0
23.0,26.0,14.0,16.0,22.0,23.0,27.0,31.0
21.0,24.0,12.0,16.0,18.0,23.0,28.0,29.0
22.0,22.0,13.0,14.0,19.0,21.0,25.0,30.0
21.0,21.0,13.0,13.0,19.0,21.0,27.0,29.0
21.0,21.0,13.0,13.0,19.0,19.0,27.0,27.0
