Product1_Forecast,Product1_Demand,Product2_Forecast,Product2_Demand,Product3_Forecast,Product3_Demand,Product4_Forecast,Product4_Demand
20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
20.0,19.0,20.0,19.0,20.0,20.0,22.0,21.0
21.0,20.0,22.0,19.0,21.0,20.0,22.0,21.0
23.0,20.0,22.0,19.0,22.0,20.0,23.0,22.0
24.0,20.0,22.0,22.0,24.0,22.0,24.0,22.0
25.0,22.0,25.0,22.0,26.0,23.0,27.0,24.0
29.0,23.0,26.0,23.0,28.0,23.0,28.0,24.0
29.0,24.0,29.0,25.0,29.0,26.0,31.0,27.0
30.0,27.0,31.0,26.0,32.0,27.0,34.0,27.0
31.0,28.0,32.0,28.0,34.0,29.0,34.0,30.0
34.0,30.0,35.0,30.0,35.0,31.0,36.0,33.0
36.0,30.0,39.0,32.0,37.0,34.0,41.0,34.0
39.0,32.0,41.0,35.0,44.0,35.0,42.0,36.0
40.0,33.0,44.0,38.0,45.0,37.0,45.0,38.0
41.0,36.0,44.0,40.0,46.0,43.0,45.0,43.0
43.0,38.0,47.0,42.0,52.0,44.0,52.0,42.0
43.0,40.0,49.0,42.0,52.0,45.0,52.0,47.0
44.0,41.0,50.0,47.0,52.0,47.0,51.0,50.0
46.0,42.0,53.0,48.0,54.0,50.0,54.0,52.0
47.0,45.0,56.0,53.0,55.0,53.0,57.0,55.0
49.0,46.0,55.0,55.0,58.0,54.0,61.0,56.0
49.0,46.0,57.0,54.0,59.0,57.0,62.0,62.0
49.0,47.0,59.0,56.0,61.0,60.0,67.0,62.0
50.0,48.0,60.0,58.0,61.0,59.0,66.0,68.0
50.0,49.0,60.0,58.0,60.0,59.0,69.0,67.0
49.0,49.0,59.0,59.0,59.0,60.0,69.0,65.0
49.0,50.0,58.0,59.0,59.0,60.0,67.0,66.0
48.0,49.0,57.0,58.0,58.0,59.0,65.0,68.0
47.0,50.0,56.0,58.0,57.0,59.0,64.0,67.0
46.0,48.0,54.0,57.0,56.0,59.0,63.0,65.0
44.0,48.0,53.0,55.0,54.0,57.0,61.0,65.0
42.0,47.0,50.0,55.0,52.0,56.0,59.0,62.0
41.0,44.0,48.0,53.0,49.0,54.0,57.0,60.0
39.0,42.0,46.0,50.0,49.0,52.0,56.0,59.0
35.0,40.0,46.0,48.0,48.0,51.0,53.0,58.0
34.0,38.0,43.0,47.0,44.0,49.0,51.0,54.0
32.0,39.0,39.0,42.0,42.0,48.0,48.0,53.0
29.0,35.0,34.0,41.0,39.0,44.0,46.0,53.0
26.0,33.0,34.0,43.0,37.0,42.0,45.0,51.0
23.0,28.0,32.0,38.0,35.0,39.0,42.0,48.0
19.0,23.0,27.0,35.0,31.0,35.0,41.0,44.0
22.0,21.0,27.0,31.0,27.0,30.0,38.0,42.0
16.0,23.0,25.0,28.0,25.0,29.0,38.0,38.0
17.0,15.0,20.0,25.0,22.0,27.0,34.0,38.0
18.0,16.0,19.0,20.0,19.0,26.0,32.0,37.0
14.0,17.0,19.0,18.0,18.0,21.0,33.0,35.0
14.0,15.0,15.0,18.0,13.0,21.0,30.0,34.0
13.0,15.0,15.0,16.0,16.0,20.0,31.0,31.0
12.0,14.0,16.0,15.0,18.0,21.0,29.0,32.0
13.0,12.0,14.0,15.0,19.0,22.0,29.0,31.0
