Product1_Forecast,Product1_Demand,Product2_Forecast,Product2_Demand,Product3_Forecast,Product3_Demand,Product4_Forecast,Product4_Demand
20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
20.0,22.0,18.0,20.0,20.0,22.0,21.0,20.0
21.0,20.0,20.0,19.0,21.0,21.0,23.0,20.0
23.0,20.0,21.0,19.0,23.0,20.0,23.0,21.0
23.0,21.0,22.0,20.0,24.0,21.0,25.0,23.0
25.0,21.0,24.0,20.0,26.0,24.0,27.0,24.0
26.0,24.0,25.0,20.0,28.0,24.0,29.0,26.0
27.0,26.0,27.0,22.0,29.0,27.0,32.0,26.0
31.0,27.0,28.0,26.0,33.0,28.0,32.0,31.0
33.0,28.0,32.0,27.0,34.0,31.0,35.0,31.0
36.0,30.0,37.0,30.0,36.0,32.0,38.0,34.0
40.0,32.0,38.0,32.0,39.0,32.0,40.0,35.0
44.0,38.0,41.0,35.0,40.0,35.0,43.0,39.0
43.0,42.0,39.0,37.0,45.0,38.0,45.0,41.0
46.0,43.0,43.0,37.0,47.0,42.0,47.0,44.0
48.0,45.0,45.0,39.0,50.0,43.0,49.0,47.0
50.0,47.0,46.0,43.0,52.0,45.0,52.0,48.0
53.0,47.0,46.0,43.0,51.0,48.0,55.0,49.0
54.0,49.0,49.0,44.0,54.0,50.0,55.0,52.0
55.0,50.0,49.0,47.0,55.0,48.0,58.0,54.0
57.0,53.0,51.0,47.0,54.0,51.0,59.0,56.0
55.0,56.0,51.0,50.0,55.0,53.0,60.0,56.0
57.0,56.0,53.0,50.0,56.0,54.0,60.0,58.0
58.0,57.0,52.0,53.0,57.0,56.0,61.0,60.0
58.0,57.0,53.0,51.0,57.0,56.0,62.0,61.0
57.0,57.0,53.0,53.0,56.0,56.0,61.0,61.0
56.0,57.0,53.0,53.0,56.0,55.0,60.0,60.0
56.0,56.0,51.0,53.0,54.0,55.0,59.0,60.0
55.0,55.0,50.0,52.0,53.0,54.0,58.0,60.0
52.0,54.0,49.0,51.0,51.0,55.0,56.0,59.0
49.0,51.0,47.0,50.0,50.0,52.0,54.0,58.0
46.0,50.0,45.0,48.0,47.0,51.0,53.0,55.0
45.0,51.0,43.0,46.0,44.0,49.0,50.0,55.0
43.0,51.0,41.0,44.0,42.0,46.0,49.0,54.0
42.0,47.0,38.0,44.0,40.0,44.0,47.0,54.0
40.0,44.0,36.0,42.0,38.0,42.0,45.0,52.0
36.0,41.0,34.0,40.0,37.0,40.0,44.0,48.0
31.0,36.0,33.0,38.0,33.0,39.0,41.0,47.0
28.0,32.0,30.0,36.0,31.0,38.0,40.0,43.0
25.0,26.0,28.0,31.0,30.0,35.0,37.0,41.0
25.0,27.0,23.0,30.0,28.0,32.0,31.0,38.0
19.0,25.0,22.0,26.0,27.0,29.0,30.0,38.0
18.0,21.0,20.0,24.0,23.0,28.0,29.0,33.0
16.0,18.0,17.0,21.0,22.0,28.0,27.0,30.0
17.0,16.0,17.0,19.0,22.0,24.0,26.0,30.0
15.0,18.0,14.0,18.0,21.0,23.0,26.0,28.0
14.0,17.0,15.0,18.0,19.0,22.0,25.0,27.0
15.0,16.0,16.0,15.0,18.0,20.0,24.0,26.0
15.0,16.0,12.0,16.0,17.0,19.0,24.0,25.0
15.0,15.0,13.0,11.0,18.0,17.0,23.0,24.0
