Product1_Forecast,Product1_Demand,Product2_Forecast,Product2_Demand,Product3_Forecast,Product3_Demand,Product4_Forecast,Product4_Demand
20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
19.0,19.0,21.0,20.0,21.0,19.0,21.0,19.0
20.0,19.0,21.0,21.0,21.0,20.0,21.0,20.0
22.0,20.0,23.0,21.0,22.0,21.0,22.0,20.0
23.0,22.0,25.0,22.0,24.0,21.0,23.0,21.0
24.0,24.0,25.0,24.0,26.0,22.0,25.0,22.0
28.0,24.0,28.0,25.0,28.0,23.0,27.0,23.0
30.0,25.0,30.0,25.0,30.0,27.0,28.0,26.0
31.0,28.0,31.0,27.0,30.0,30.0,33.0,27.0
36.0,30.0,35.0,29.0,30.0,30.0,35.0,30.0
37.0,32.0,37.0,35.0,36.0,30.0,35.0,32.0
39.0,35.0,43.0,34.0,38.0,33.0,40.0,35.0
43.0,37.0,43.0,41.0,41.0,34.0,43.0,40.0
45.0,37.0,48.0,44.0,43.0,39.0,47.0,42.0
46.0,44.0,51.0,46.0,47.0,41.0,48.0,46.0
51.0,46.0,54.0,49.0,47.0,39.0,54.0,46.0
56.0,44.0,55.0,48.0,48.0,45.0,54.0,49.0
53.0,49.0,56.0,52.0,54.0,46.0,55.0,52.0
53.0,52.0,63.0,55.0,54.0,53.0,55.0,53.0
57.0,53.0,60.0,63.0,52.0,51.0,56.0,54.0
58.0,56.0,62.0,61.0,52.0,52.0,58.0,56.0
59.0,57.0,63.0,61.0,56.0,51.0,60.0,58.0
61.0,58.0,64.0,63.0,55.0,53.0,60.0,60.0
62.0,60.0,64.0,65.0,55.0,54.0,62.0,61.0
62.0,62.0,63.0,64.0,55.0,54.0,62.0,61.0
63.0,62.0,64.0,64.0,55.0,55.0,61.0,61.0
61.0,63.0,63.0,64.0,55.0,55.0,60.0,61.0
60.0,61.0,62.0,63.0,54.0,55.0,59.0,61.0
58.0,60.0,60.0,63.0,52.0,53.0,58.0,60.0
56.0,59.0,59.0,61.0,49.0,53.0,57.0,60.0
54.0,56.0,59.0,60.0,48.0,50.0,56.0,58.0
51.0,54.0,56.0,59.0,45.0,49.0,53.0,57.0
48.0,51.0,51.0,58.0,43.0,46.0,50.0,55.0
45.0,49.0,52.0,59.0,40.0,41.0,47.0,51.0
43.0,49.0,51.0,54.0,34.0,40.0,48.0,50.0
41.0,47.0,46.0,54.0,32.0,37.0,44.0,49.0
39.0,43.0,45.0,46.0,29.0,34.0,41.0,47.0
37.0,40.0,45.0,44.0,27.0,34.0,39.0,45.0
34.0,38.0,41.0,44.0,25.0,31.0,34.0,41.0
33.0,34.0,37.0,46.0,23.0,28.0,33.0,38.0
27.0,33.0,37.0,42.0,20.0,26.0,32.0,36.0
26.0,29.0,35.0,39.0,16.0,22.0,29.0,34.0
21.0,25.0,31.0,38.0,14.0,24.0,27.0,32.0
18.0,20.0,29.0,34.0,17.0,17.0,28.0,29.0
14.0,22.0,30.0,32.0,17.0,17.0,27.0,27.0
17.0,21.0,28.0,31.0,12.0,15.0,23.0,28.0
15.0,17.0,26.0,30.0,12.0,11.0,23.0,28.0
15.0,17.0,27.0,29.0,9.0,12.0,24.0,26.0
15.0,17.0,26.0,27.0,10.0,10.0,24.0,25.0
15.0,16.0,25.0,27.0,9.0,10.0,23.0,24.0
