Product1_Forecast,Product1_Demand,Product2_Forecast,Product2_Demand,Product3_Forecast,Product3_Demand,Product4_Forecast,Product4_Demand
20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
21.0,20.0,21.0,20.0,19.0,18.0,23.0,20.0
19.0,20.0,22.0,22.0,21.0,19.0,22.0,21.0
23.0,21.0,25.0,22.0,21.0,19.0,23.0,22.0
24.0,23.0,26.0,25.0,22.0,20.0,25.0,22.0
26.0,26.0,29.0,25.0,24.0,22.0,27.0,24.0
30.0,27.0,32.0,29.0,25.0,23.0,29.0,25.0
32.0,29.0,36.0,32.0,28.0,24.0,30.0,26.0
35.0,31.0,38.0,32.0,30.0,27.0,33.0,28.0
39.0,35.0,41.0,35.0,33.0,27.0,34.0,29.0
45.0,38.0,43.0,36.0,35.0,33.0,37.0,32.0
45.0,45.0,45.0,38.0,36.0,33.0,38.0,34.0
50.0,46.0,48.0,42.0,40.0,34.0,41.0,35.0
52.0,45.0,51.0,46.0,44.0,38.0,44.0,39.0
54.0,50.0,49.0,51.0,46.0,41.0,45.0,40.0
55.0,52.0,56.0,51.0,48.0,41.0,49.0,42.0
56.0,52.0,59.0,50.0,50.0,44.0,51.0,42.0
59.0,54.0,59.0,54.0,50.0,47.0,51.0,47.0
61.0,57.0,59.0,55.0,53.0,50.0,55.0,49.0
61.0,59.0,60.0,57.0,54.0,50.0,58.0,52.0
68.0,60.0,61.0,59.0,54.0,52.0,59.0,54.0
67.0,63.0,59.0,60.0,56.0,53.0,59.0,57.0
68.0,63.0,61.0,59.0,57.0,54.0,61.0,57.0
67.0,66.0,61.0,60.0,57.0,56.0,61.0,60.0
65.0,67.0,62.0,61.0,57.0,56.0,64.0,61.0
65.0,66.0,61.0,62.0,57.0,57.0,61.0,62.0
66.0,66.0,60.0,62.0,56.0,57.0,61.0,62.0
64.0,67.0,60.0,61.0,55.0,57.0,61.0,61.0
65.0,66.0,59.0,61.0,54.0,56.0,59.0,62.0
63.0,65.0,58.0,60.0,52.0,54.0,58.0,60.0
61.0,64.0,56.0,59.0,50.0,53.0,55.0,61.0
59.0,63.0,54.0,57.0,48.0,52.0,54.0,58.0
57.0,62.0,52.0,55.0,48.0,50.0,51.0,55.0
55.0,59.0,50.0,53.0,45.0,49.0,49.0,55.0
52.0,57.0,47.0,52.0,42.0,48.0,46.0,50.0
50.0,54.0,45.0,50.0,41.0,43.0,44.0,46.0
47.0,53.0,42.0,47.0,37.0,42.0,41.0,47.0
45.0,49.0,40.0,46.0,32.0,41.0,39.0,44.0
43.0,47.0,37.0,41.0,32.0,38.0,34.0,41.0
38.0,44.0,30.0,39.0,30.0,36.0,32.0,37.0
36.0,41.0,29.0,33.0,29.0,35.0,29.0,34.0
33.0,37.0,24.0,32.0,28.0,31.0,26.0,33.0
29.0,34.0,24.0,26.0,27.0,29.0,25.0,32.0
26.0,30.0,22.0,27.0,21.0,28.0,25.0,31.0
27.0,28.0,20.0,26.0,21.0,23.0,24.0,28.0
24.0,28.0,22.0,23.0,19.0,21.0,24.0,26.0
24.0,25.0,21.0,23.0,18.0,22.0,23.0,25.0
23.0,24.0,21.0,21.0,17.0,19.0,22.0,24.0
23.0,22.0,20.0,21.0,18.0,18.0,22.0,23.0
21.0,23.0,21.0,21.0,18.0,18.0,22.0,22.0
